"threshold","snow_year","start_year","scdot_first_day","scdot_last_day","scdot_first_doy_adjusted","scdot_last_doy_adjusted","scdot_length","scdot_count","scdot_percentage","max_consecutive_days","number_of_events","scp_length"
40,"1990-1991",1990,1990-12-07,1991-04-11,129,254,126,126,62.0689655172414,126,1,203
40,"1991-1992",1991,1991-12-06,1992-04-21,128,265,138,138,66.9902912621359,138,1,206
40,"1992-1993",1992,NA,NA,NA,NA,0,0,0,0,0,155
40,"1993-1994",1993,1993-12-05,1994-04-28,127,271,145,145,73.6040609137056,145,1,197
40,"1994-1995",1994,1994-12-17,1995-04-22,139,265,127,127,66.1458333333333,127,1,192
40,"1995-1996",1995,1996-03-13,1996-04-05,226,249,24,24,13.4831460674157,24,1,178
40,"1996-1997",1996,1996-12-12,1997-04-10,135,253,120,120,59.4059405940594,120,1,202
40,"1997-1998",1997,1998-02-23,1998-03-18,207,230,24,24,12.7659574468085,24,1,188
40,"1998-1999",1998,1999-01-28,1999-03-22,181,234,54,54,28.7234042553192,54,1,188
40,"1999-2000",1999,NA,NA,NA,NA,0,0,0,0,0,198
40,"2000-2001",2000,2001-01-31,2001-04-05,184,248,65,20,32.8282828282828,8,3,198
40,"2001-2002",2001,2001-12-16,2002-04-13,138,256,119,78,58.6206896551724,52,3,203
40,"2002-2003",2002,NA,NA,NA,NA,0,0,0,0,0,204
40,"2003-2004",2003,2004-01-16,2004-03-29,169,242,74,47,44.578313253012,43,2,166
40,"2004-2005",2004,NA,NA,NA,NA,0,0,0,0,0,187
40,"2005-2006",2005,NA,NA,NA,NA,0,0,0,0,0,154
40,"2006-2007",2006,2006-11-06,2006-11-06,98,98,1,1,0.606060606060606,1,1,165
40,"2007-2008",2007,NA,NA,NA,NA,0,0,0,0,0,228
40,"2008-2009",2008,2008-12-03,2009-04-10,126,253,129,120,61.1374407582938,104,2,211
40,"2009-2010",2009,2010-01-12,2010-03-02,165,214,50,50,24.0384615384615,50,1,208
40,"2010-2011",2010,2010-12-27,2011-03-24,149,236,88,88,48.8888888888889,88,1,180
40,"2011-2012",2011,2012-01-30,2012-03-27,183,240,58,8,30.5263157894737,4,3,190
40,"2012-2013",2012,2012-11-17,2013-02-10,110,194,86,37,43.21608040201,27,3,199
40,"2013-2014",2013,NA,NA,NA,NA,0,0,0,0,0,179
50,"1945-1946",1945,1946-03-04,1946-03-20,216,232,17,17,9.6045197740113,17,1,177
50,"1947-1948",1947,1948-01-30,1948-04-21,183,265,83,69,51.2345679012346,69,1,162
50,"1951-1952",1951,1952-02-13,1952-03-27,197,240,44,44,21.0526315789474,44,1,209
50,"1952-1953",1952,1953-02-16,1953-03-23,200,235,36,19,18.1818181818182,14,2,198
50,"1953-1954",1953,1953-12-05,1954-05-07,127,280,154,154,70,154,1,220
50,"1954-1955",1954,1954-11-15,1955-03-31,107,243,137,62,64.3192488262911,53,3,213
50,"1955-1956",1955,1955-12-26,1956-04-11,148,255,108,99,52.4271844660194,90,2,206
50,"1956-1957",1956,1956-11-20,1957-03-17,113,229,118,52,51.0822510822511,50,2,231
50,"1957-1958",1957,1958-01-22,1958-04-05,175,248,74,74,37.5634517766497,74,1,197
50,"1958-1959",1958,1959-01-09,1959-04-10,162,253,92,92,44.2307692307692,92,1,208
50,"1959-1960",1959,1960-02-07,1960-03-18,191,231,41,41,20,41,1,205
50,"1960-1961",1960,1960-11-21,1961-04-16,114,259,147,143,69.3396226415094,132,2,212
50,"1961-1962",1961,1961-11-02,1962-04-01,94,244,151,151,68.3257918552036,151,1,221
50,"1962-1963",1962,1963-01-08,1963-04-11,161,254,94,94,48.4536082474227,94,1,194
50,"1963-1964",1963,1964-01-07,1964-04-23,160,267,108,108,59.0163934426229,108,1,183
50,"1964-1965",1964,1965-02-26,1965-03-02,210,214,5,5,2.89017341040462,5,1,173
50,"1965-1966",1965,1966-01-12,1966-03-30,165,242,78,78,39,78,1,200
50,"1966-1967",1966,1966-12-17,1967-04-19,139,262,124,124,62,124,1,200
50,"1967-1968",1967,1968-01-25,1968-02-27,178,211,34,34,16.8316831683168,34,1,202
50,"1968-1969",1968,1969-01-04,1969-03-09,157,221,65,65,32.5,65,1,200
50,"1969-1970",1969,NA,NA,NA,NA,0,0,0,0,0,200
50,"1970-1971",1970,NA,NA,NA,NA,0,0,0,0,0,196
50,"1971-1972",1971,NA,NA,NA,NA,0,0,0,0,0,192
50,"1972-1973",1972,NA,NA,NA,NA,0,0,0,0,0,199
50,"1973-1974",1973,1973-12-27,1974-04-15,149,258,110,107,59.1397849462366,100,2,186
50,"1974-1975",1974,1975-02-16,1975-04-07,200,250,51,51,22.0779220779221,51,1,231
50,"1975-1976",1975,1975-12-19,1976-04-01,141,245,105,92,53.8461538461538,53,3,195
50,"1976-1977",1976,NA,NA,NA,NA,0,0,0,0,0,176
50,"1977-1978",1977,NA,NA,NA,NA,0,0,0,0,0,177
50,"1978-1979",1978,1979-03-09,1979-03-18,221,230,10,10,4.36681222707424,10,1,229
50,"1979-1980",1979,NA,NA,NA,NA,0,0,0,0,0,183
50,"1980-1981",1980,1981-04-10,1981-04-21,253,264,12,12,5.33333333333333,12,1,225
